80,80,0
119,88,45
113,96,210
106,103,45
100,111,210
95,120,0
98,113,-165
92,120,-330
87,127,-165
81,134,-330
76,141,-165
75,150,-375
81,157,-210
57,186,-255
58,226,-300
78,266,-300
98,306,-300
118,346,-300
138,386,-300
147,379,-510
142,388,-720
181,396,-675
188,390,-840
197,385,-630
204,388,-795
213,393,-585
202,429,-630
210,469,-675
250,509,-675
290,549,-675
330,589,-675
370,629,-675
410,669,-675
450,709,-675
490,749,-675
530,789,-675
570,829,-675
610,869,-675
650,909,-675
686,920,-720
726,912,-765
766,872,-765
803,861,-720
842,869,-675
882,909,-675
889,901,-885
